id,Наименование продукции,Тип продукции,Артикул,Описание,Изображение,Количество человек для производства,Номер цеха для производства,Минимальная стоимость для агента,,,ID,Название,Брак
1,Колесо R18 Кованый,1,241659,нет,\products\tire_15.jpg,4,10,11509,,,1,Колесо,0
2,Запаска R15 Кованый,2,327657,нет,\products\tire_64.jpg,2,8,8667,,,2,Запаска,0
3,Шина R21 Лето,3,266521,нет,\products\tire_6.jpg,4,1,10561,,,3,Шина,0
4,Шина R21 Кованый,3,329576,нет,\products\tire_59.jpg,2,2,7989,,,4,Диск,0
5,Диск R17 Лето,4,400508,нет,\products\tire_24.jpg,1,4,12941,,,,,
6,Шина R14 Липучка,3,331598,нет,\products\tire_17.jpg,4,1,13879,,,,,
7,Диск R16 Кованый,4,440075,нет,\products\tire_25.jpg,3,9,9068,,,,,
8,Запаска R14 Лето,2,448396,нет,\products\tire_32.jpg,1,5,12878,,,,,
9,Диск R22 Липучка,4,418286,нет,\products\tire_4.jpg,4,2,10670,,,,,
10,Запаска R15 Лето,2,348910,нет,\products\tire_50.jpg,1,9,4969,,,,,
11,Шина R15 Липучка,3,349418,нет,\products\tire_48.jpg,1,4,6393,,,,,
12,Колесо R15 Кованый,1,376388,нет,не указано,3,4,9439,,,,,
13,Колесо R20 Кованый,1,445217,нет,\products\tire_1.jpg,3,10,9569,,,,,
14,Диск R19 Лето,4,243152,нет,\products\tire_0.jpg,1,9,6264,,,,,
15,Колесо R18 Лето,1,412238,нет,\products\tire_14.jpg,2,7,13892,,,,,
16,Диск R20 Зима,4,252453,нет,нет,4,9,14526,,,,,
17,Диск R17 Зима,4,343841,нет,нет,3,9,12768,,,,,
18,Запаска R21 Липучка,2,247470,нет,\products\tire_62.jpg,1,2,10139,,,,,
19,Запаска R20 Липучка,2,335226,нет,не указано,1,2,9988,,,,,
20,Шина R17 Кованый,3,299692,нет,\products\tire_58.jpg,3,10,11463,,,,,
21,Диск R20 Липучка,4,447543,нет,\products\tire_3.jpg,4,8,11661,,,,,
22,Запаска R20 Кованый,2,249737,нет,не указано,5,5,7509,,,,,
23,Колесо R14 Кованый,1,429265,нет,отсутствует,3,6,11838,,,,,
24,Диск R21 Кованый,4,299085,нет,\products\tire_61.jpg,3,3,4757,,,,,
25,Шина R20 Кованый,3,330937,нет,\products\tire_45.jpg,3,1,10928,,,,,
